CCG Comments,CMU ,FY,Last Stage Reached,Project Assessed,Project ID,Project Name,Approval Date,Approval Step,CO Team Lead,Could count for more adaptation,Could count for more mitigation,Country,FY Probability,GP,Lending Instrument,Potential (Y/N),Practice Group,Practice Manager Name,Region,Requesting Cost Center Code,Responsible Cost Center Code,Responsible Cost Center Name,Team Lead Name,TLN CDRS: Project compliant with CDRS requirement?,TLN CI: Climate indicator included?,TLN CI: Name of Climate Indicator,TLN CI: Project compliant with CI requirement?,TLN GHG: Applicable to operation,TLN GHG: GHG lifetime,"TLN GHG: Gross Emissions  (tCO2e, lifetime)","TLN GHG: Net Emissions (annual average, tCO2e/year)","TLN GHG: Net Emissions (economic lifetime, tCO2e)",TLN GHG: Status of data,TN1: % (Climate Co-Benefits Over Total IDA/IBRD Commitment),TN2: Net IDA/IBRD Adaptation ($M) ,TN3: Net IDA/IBRD Mitigation ($M) ,TN4: Total IDA/IBRD Climate Co-Benefits ($M) ,TN5: % (IBRD Climate Co-Benefits Over Total IBRD Commitment),TN6: % (IDA Climate Co-Benefits Over Total IDA Commitment),TN7: Net IBRD Adaptation ($M),TN8: IBRD Climate Co-Benefits ($M),TN9: Net IBRD Mitigation ($M),TO1: Net IDA Adaptation ($M),TO2: IDA Climate Co-Benefits ($M),TO3: Net IDA Mitigation ($M),TO4: IBRD Commitment ($M),TO5: IDA Commitment ($M),TO6: Total IDA/IBRD Commitment ($M),TO7: Gross IDA/IBRD Adaptation ($M),TO8: Gross IDA/IBRD Mitigation ($M),TO9: Dual Benefit Finance ($M)
 ,AWCW1-AFW,FY17,Bank Approved,Assessed,P151502,LR-PRSC III (FY16),11/17/2016,A,000112546 | Errol George Graham ~,0,0,Liberia,Firm,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFW,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Errol George Graham,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,40,40,,,
 ,AWCW1-AFW,FY17,Bank Approved,Assessed,P152171,Economic Management Strengthening,8/30/2016,A,000259014 | Furqan Ahmad Saleem ~ 000510733 | Kwabena Gyan Kwakye,0,0,Ghana,Firm,Macro Economics and Fiscal Management,Investment,No,GGEVP,Tracey M. Lane,AFW,AWCW1,EAWG2,EFI-AFR2-GOV-FM & PS-2,Furqan Ahmad Saleem,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,15,15,,,
 ,AWCW1-AFW,FY17,Bank Approved,Assessed,P153805,SL:Western Area Power Generation Project,7/14/2016,A,000083094 | Jianping Zhao ~ 000346767 | Anthony Molle,0,0,Sierra Leone,Firm,Energy and Extractives,Investment,No,GGIVP,Ashish Khanna,AFW,AWCW1,IAWE4,Energy & Extractives AFR4,Jianping Zhao,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,40,40,,,
 ,AWCW1-AFW,FY17,Bank Approved,Assessed,P161939,Additional Financing to LIBRAMP,5/8/2017,A,000305298 | Kulwinder Singh Rao ~ 000335259 | John Kobina Richardson,0,0,Liberia,Firm,Transport,Investment,No,GGIVP,Anne Cecile Sophie Souhaid,AFW,AWCW1,IAWT3,Transport-C. AFR +GH/LR/SL,Kulwinder Singh Rao,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,40,40,,,
 ,AWCW1-AFW,FY17,Begin Appraisal,Assessed,P151026,Transport Sector Improvement Project,6/6/2017,A,000352122 | Haileyesus Adamtei Mengesha ~,0,0,Ghana,Firm,Transport,Investment,No,GGIVP,Anne Cecile Sophie Souhaid,AFW,AWCW1,IAWT3,Transport-C. AFR +GH/LR/SL,Haileyesus Adamtei Mengesha,Yes,,,,,,,,,,8.09%,11.960000000000001,0.17000000000000001,12.130000000000001,0,0.080866667,0,0,0,11.96,12.13,0.17,0,150,150,,,
 ,AWCW1-AFW,FY17,Begin Appraisal,Assessed,P162667,PFMICP-Additional Financing,6/7/2017,A,000182329 | Donald Herrings Mphande ~,0,0,Sierra Leone,Firm,Governance,Investment,No,GGEVP,George Addo Larbi,AFW,AWCW1,GGO19-HIS,HIS-GOV PSI - AFR 6,Donald Herrings Mphande,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY17,Decision Meeting,Assessed,P156651,Productivity and Transparency Support Cr,6/30/2017,A,000513025 | Kemoh Mansaray ~,0,0,Sierra Leone,Firm,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFW,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Kemoh Mansaray,Yes,,,,,,,,,,4.17%,0,1.25,1.25,0,0.041666667,0,0,0,0,1.25,1.25,0,30,30,,,
 ,AWCW1-AFW,FY17,Decision Meeting,Assessed,P163161,Sierra Leone REDiSL AF,6/20/2017,A,000078030 | Peter Darvas ~,0,0,Sierra Leone,Firm,Education,Investment,No,GGHVP,Scherezad Joya Monami Latif,AFW,AWCW1,HAWE3,Education AFR 3,Peter Darvas,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY17,Decision Meeting,Assessed,P163164,Liberia PRSDPOIII Supplemental,6/26/2017,A,000236053 | Marina Bakanova ~,0,0,Liberia,Firm,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFW,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Marina Bakanova,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,12,12,,,
 ,AWCW1-AFW,FY17,Decision Meeting,Assessed,P163628,SEIP AF,6/28/2017,A,000227052 | Eunice Yaa Brimfah Ackwerh ~,0,0,Ghana,Firm,Education,Investment,No,GGHVP,Scherezad Joya Monami Latif,AFW,AWCW1,HAWE3,Education AFR 3,Eunice Yaa Brimfah Ackwerh,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,40,40,,,
 ,AWCW1-AFW,FY17,Decision Meeting,Assessed,P163846,AF Sustainable Rural Water & Sanitation,6/28/2017,A,000357324 | Emmanuel Nkrumah ~,0,0,Ghana,Firm,Water,Investment,No,GGSVP,Fatouma Toure Ibrahima Wane,AFW,AWCW1,SAWW1,Water West Africa Region,Emmanuel Nkrumah,Yes,,,,,,,,,,16.41%,0,7.5,7.5,0,0.164113786,0,0,0,0,7.5,7.5,0,45.7,45.7,,,
 ,AWCW1-AFW,FY16,,Assessed,P146827,Liberia Youth Opportunities Project,11/6/2015,A,000484834 | Mack Capehart Mulbah ~ 000367592 | Victoria Strokova,0,0,Liberia,,Social Protection and Jobs,Investment,No,GGHVP,Camilla Holmemo,AFR,AWCW1,HAWS3,Social Protection & Labor AFR 3,Mack Capehart Mulbah,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY16,,Assessed,P149683,Liberia Renewable Energy Access Project,1/11/2016,A,000561487 | Maame Tabuah Ankoh ~,0,0,Liberia,,Energy and Extractives,Investment,No,GGIVP,Ashish Khanna,AFR,AWCW1,IAWE4,Energy & Extractives AFR4,Maame Tabuah Ankoh,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,
 ,AWCW1-AFW,FY16,,Assessed,P152670,Ghana Sankofa Gas Project,7/30/2015,A,000454314 | David Vilar Ferrenbach ~ 000466245 | Vincent Francois Jean Launay,0,0,Ghana,,Energy and Extractives,Investment,No,GGIVP,Ashish Khanna,AFR,AWCW1,IAWE4,Energy & Extractives AFR4,David Vilar Ferrenbach,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,200,500,700,,,
 ,AWCW1-AFW,FY16,,Assessed,P153064,Health Service Delivery & System Support Project,6/23/2016,A,000321776 | Yohana Dukhan ~ 000560123 | Olga Guerrero Horas ~ 000500375 | Nicolas Rosemberg ~,0,0,Sierra Leone,,Health Nutrition and Population,Investment,No,GGHVP,Rifat Afifa Hasan,AFR,AWCW1,HAWH3,Health Nutrition&Population AFR3,Yohana Dukhan,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY16,,Assessed,P153437,Smallholder Commercialization and Agribusiness Development P,2/18/2016,A,000237109 | Adetunji A. Oredipe ~ 000338255 | Kadir Osman Gyasi ~ 000330440 | Tojoarofenitra Ramanankirahina ~,0,0,Sierra Leone,,Agriculture and Food,Investment,No,GGSVP,Abel Lufafa,AFR,AWCW1,SAWA1,AGRICULTURE AND FOOD PG AFR1,Adetunji A. Oredipe,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,40,40,,,
 ,AWCW1-AFW,FY16,,Assessed,P154454,Social Safety Nets Additional Financing,8/6/2015,A,000374793 | Nina Rosas Raffo ~,0,0,Sierra Leone,,Social Protection and Jobs,Investment,No,GGHVP,Camilla Holmemo,AFR,AWCW1,HAWS3,Social Protection & Labor AFR 3,Nina Rosas Raffo,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY16,,Assessed,P155293,Liberia Social Safety Nets Project,4/28/2016,A,000312531 | Steisianasari Mileiva ~ 000528460 | Sarika Gupta Ringwala,0,0,Liberia,,Social Protection and Jobs,Investment,No,GGHVP,Camilla Holmemo,AFR,AWCW1,HAWS3,Social Protection & Labor AFR 3,Steisianasari Mileiva,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY16,,Assessed,P155947,Liberia Urban Water Supply Project,3/24/2016,A,000340636 | Harold Esseku ~ 000560307 | Christian Nya Yeakula,0,0,Liberia,,Water,Investment,No,GGSVP,Anna Cestari,AFR,AWCW1,SAWW4,Water West Africa Region 4,Harold Esseku,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY16,,Assessed,P157333,SL Supplemental Financing for Emergency Econ and Fiscal Supp,12/8/2015,A,000015465 | Cyrus P. Talati ~,0,0,Sierra Leone,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Cyrus P. Talati,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,30,30,,,
 ,AWCW1-AFW,FY15,,Assessed,P133664,GH-Macro Stability for Competitiveness,6/30/2015,A,000176149 | Santiago Herrera Aguilera ~ 000373513 | Gregory Lawrence Barrett Smith ~ 000333239 | Jukka-Pekka Strand ~,0,0,Ghana,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Santiago Herrera Aguilera,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,150,150,,,
 ,AWCW1-AFW,FY15,,Assessed,P146619,LR PRSC II,11/12/2014,A,000112546 | Errol George Graham ~,0,0,Liberia,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Errol George Graham,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,30,30,,,
 ,AWCW1-AFW,FY15,,Assessed,P146726,SL-Emergency Econ and Fiscal Support Op,12/17/2014,A,000015465 | Cyrus P. Talati ~,0,0,Sierra Leone,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Cyrus P. Talati,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,30,30,,,
 ,AWCW1-AFW,FY15,,Assessed,P147878,GEDAP Second Additional Financing,4/30/2015,A,000238665 | Shinya Nishimura ~ 000253673 | Dante Ariel Mossi Reyes,0,0,Ghana,,Energy and Extractives,Investment,No,GGIVP,Yadviga Viktorivna Semikolenova,AFR,AWCW1,IAEE3,Infra AFR Energy 3,Shinya Nishimura,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,60,60,,,
 ,AWCW1-AFW,FY15,,Assessed,P149444,GH-Transport Sector  Project AF (FY14),11/4/2014,A,000335259 | John Kobina Richardson ~,0,0,Ghana,,Transport and Digital Development,Investment,No,GGIVP,Anne Cecile Sophie Souhaid,AFR,AWCW1,IAWT3,Transport-C. AFR +GH/LR/SL,John Kobina Richardson,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,,
 ,AWCW1-AFW,FY15,,Assessed,P151447,GH-PFM Reform Project (FY15),5/15/2015,A,000259014 | Furqan Ahmad Saleem ~,0,0,Ghana,,Governance,Investment,No,GGEVP,Tracey M. Lane,AFR,AWCW1,EAWG2,EFI-AFR2-GOV-FM & PS-2,Furqan Ahmad Saleem,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,45,45,,,
 ,AWCW1-AFW,FY15,,Assessed,P153124,LACEEP Additional Financing,6/24/2015,A,000052010 | Clemencia Torres De Mastle ~,0,0,Liberia,,Energy and Extractives,Investment,No,GGIVP,Yadviga Viktorivna Semikolenova,AFR,AWCW1,IAEE3,Infra AFR Energy 3,Clemencia Torres De Mastle,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,60,60,,,
 ,AWCW1-AFW,FY15,,Assessed,P155550,GH-Macroeconomic Stability for Comp.,6/30/2015,A,000373513 | Gregory Lawrence Barrett Smith ~ 000176149 | Santiago Herrera Aguilera ~ 000333239 | Jukka-Pekka Strand ~,0,0,Ghana,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Gregory Lawrence Barrett Smith,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,400,400,,,
 ,AWCW1-AFW,FY14,,Assessed,P120304,SL-Energy Sector Utility Reform,12/18/2013,A,000499015 | Kagaba Paul Mukiibi ~ 000591619 | Ibrahim Jalloh,0,0,Sierra Leone,,Energy and Extractives,Investment,No,GGIVP,Ashish Khanna,AFR,AWCW1,IAWE4,Energy & Extractives AFR4,Kagaba Paul Mukiibi,Yes,,,,,,,,,,64.67%,0,25.867999999999999,25.867999999999999,0,0.6467,0,0,0,0,25.868,25.868,0,40,40,,,
 ,AWCW1-AFW,FY14,,Assessed,P132753,"SL-Repr & Child Hlth2, 2nd Add Fin (FY14",8/30/2013,A,000260170 | Irina Aleksandra Nikolic ~,0,0,Sierra Leone,,Health Nutrition and Population,Investment,No,GGHVP,Rifat Afifa Hasan,AFR,AWCW1,HAWH3,Health Nutrition&Population AFR3,Irina Aleksandra Nikolic,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,13,13,,,
 ,AWCW1-AFW,FY14,,Assessed,P133107,SL-GRGC-6 Gov Reform & Growth Grant FY13,12/23/2013,A,000015465 | Cyrus P. Talati ~,0,0,Sierra Leone,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Cyrus P. Talati,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,,
 ,AWCW1-AFW,FY14,,Assessed,P133424,PFM Improvement and Consolidation,11/27/2013,A,000322373 | Shomikho Raha ~,0,0,Sierra Leone,,Governance,Investment,No,GGEVP,Tracey M. Lane,AFR,AWCW1,EAWG2,EFI-AFR2-GOV-FM & PS-2,Shomikho Raha,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,12,12,,,
 ,AWCW1-AFW,FY14,,Assessed,P143064,LR-Public Sector Modernization (FY14,2/10/2014,A,000214693 | Smile Kwawukume ~ 000373330 | Miki Matsuura,0,0,Liberia,,Governance,Investment,No,GGEVP,Tracey M. Lane,AFR,AWCW1,EAWG2,EFI-AFR2-GOV-FM & PS-2,Smile Kwawukume,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,
 ,AWCW1-AFW,FY14,,Assessed,P143588,SL Safety Nets Project,3/25/2014,A,000465960 | Abu Kargbo ~ 000469089 | Samik Adhikari,0,0,Sierra Leone,,Social Protection and Jobs,Investment,No,GGHVP,Camilla Holmemo,AFR,AWCW1,HAWS3,Social Protection & Labor AFR 3,Abu Kargbo,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,
 ,AWCW1-AFW,FY14,,Assessed,P144140,GH eTransform Ghana,10/24/2013,A,000273420 | Kaoru Kimura ~ 000479414 | Munkyung Park,0,0,Ghana,,Transport and Digital Development,Investment,No,GGIVP,Jana Kunicova,AFR,AWCW1,DAWDD,Digital Dev-AFR W/CENTRAL,Kaoru Kimura,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,97,97,,,
 ,AWCW1-AFW,FY14,,Assessed,P144435,Liberia-Urban Rural Infrastr. Rehab. AF,1/24/2014,A,000305298 | Kulwinder Singh Rao ~,0,0,Liberia,,Transport and Digital Development,Investment,No,GGIVP,Karla Gonzalez Carvajal,AFR,AWCW1,IAET2,Transport-So. Africa + Ethiopia,Kulwinder Singh Rao,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,19.6,19.6,,,
 ,AWCW1-AFW,FY14,,Assessed,P145741,Ghana Secondary Education Improvement,5/20/2014,A,000227052 | Eunice Yaa Brimfah Ackwerh ~ 000165486 | Yoko Nagashima,0,0,Ghana,,Education,Investment,No,GGHVP,Scherezad Joya Monami Latif,AFR,AWCW1,HAWE3,Education AFR 3,Eunice Yaa Brimfah Ackwerh,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,156,156,,,
 ,AWCW1-AFW,FY14,,Assessed,P145792,"GH-Maternal, Child Hlth & Nutr. (FY14)",5/20/2014,A,000353432 | Anthony Theophilus Seddoh ~,0,0,Ghana,,Health Nutrition and Population,Investment,No,GGHVP,Rifat Afifa Hasan,AFR,AWCW1,HAWH3,Health Nutrition&Population AFR3,Anthony Theophilus Seddoh,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,68,68,,,
 ,AWCW1-AFW,FY14,,Assessed,P146923,AF Ghana Social Opportunities Project,5/27/2014,A,000245294 | Suleiman Namara ~,0,0,Ghana,,Social Protection and Jobs,Investment,No,GGHVP,Camilla Holmemo,AFR,AWCW1,HAWS3,Social Protection & Labor AFR 3,Suleiman Namara,Yes,,,,,,,,,,13.10%,0,6.5499999999999998,6.5499999999999998,0,0.131,0,0,0,0,6.55,6.55,0,50,50,,,
 ,AWCW1-AFW,FY14,,Assessed,P148224,GH-Oil & Gas Capacity Building AF,6/27/2014,A,000349854 | David John Santley ~,0,0,Ghana,,Energy and Extractives,Investment,No,GGIVP,Robert Schlotterer,AFR,AWCW1,IEEXI,Infra Energy Extractive Industry,David John Santley,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,19.8,19.8,,,
 ,AWCW1-AFW,FY13,,Assessed,P119063,GH-GAMA Sanitation and Water Project,6/6/2013,A,000340636 | Harold Esseku ~ 000560307 | Christian Nya Yeakula,0,0,Ghana,,Water,Investment,No,GGSVP,Anna Cestari,AFR,AWCW1,SAWW4,Water West Africa Region 4,Harold Esseku,,,,,,,,,,,4.01%,0,6.0150000000000006,6.0150000000000006,0,0.0401,0,0,0,0,6.015,6.015,0,150,150,,,
 ,AWCW1-AFW,FY13,,Assessed,P127317,LR-PRSC-I (FY13),6/26/2013,A,000112546 | Errol George Graham ~,0,0,Liberia,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Errol George Graham,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY13,,Assessed,P128909,LR-Health Systems Strengthening (FY13),5/30/2013,A,000522298 | Kazumi Inden ~,0,0,Liberia,,Health Nutrition and Population,Investment,No,GGHVP,Rifat Afifa Hasan,AFR,AWCW1,HAWH3,Health Nutrition&Population AFR3,Kazumi Inden,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AWCW1-AFW,FY13,,Assessed,P129654,LR-Road Asset Management Add'l Financing,9/20/2012,A,000305298 | Kulwinder Singh Rao ~,0,0,Liberia,,Transport and Digital Development,Investment,No,GGIVP,Anne Cecile Sophie Souhaid,AFR,AWCW1,IAWT3,Transport-C. AFR +GH/LR/SL,Kulwinder Singh Rao,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,50,50,,,
 ,AWCW1-AFW,FY13,,Assessed,P129769,GH-NREG TA Grant  (FY13),6/6/2013,A,000383531 | Asferachew Abate Abebe ~,0,0,Ghana,,Environment Natural Resources and the Blue Economy,Investment,No,GGSVP,Lia Carol Sieghart,AFR,AWCW1,SAWE4,AFR ENR PM 4,Asferachew Abate Abebe,,,,,,,,,,,55.59%,0.28899999999999998,2.4905000000000004,2.7795000000000005,0,0.5559,0,0,0,0.289,2.7795,2.4905,0,5,5,,,
 ,AWCW1-AFW,FY13,,Assessed,P133445,LR-Accelerated Electricity Exp. (FY13),5/30/2013,A,000295140 | Ky Hong Tran ~,0,0,Liberia,,Energy and Extractives,Investment,No,GGIVP,Ashish Khanna,AFR,AWCW1,IAWE4,Energy & Extractives AFR4,Ky Hong Tran,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,35,35,,,
 ,AWCW1-AFW,FY12,,Assessed,P113273,LR Smallholder Tree Crop Project,6/5/2012,A,000237109 | Adetunji A. Oredipe ~ 000240271 | Abimbola Adubi,0,0,Liberia,,Agriculture and Food,Investment,No,GGSVP,Abel Lufafa,AFR,AWCW1,SAWA1,AGRICULTURE AND FOOD PG AFR1,Adetunji A. Oredipe,,,,,,,,,,,63.80%,0,9.5700000000000003,9.5700000000000003,0,0.638,0,0,0,0,9.57,9.57,0,15,15,,,
 ,AWCW1-AFW,FY12,,Assessed,P114264,Ghana Commercial Agriculture,3/22/2012,A,000380690 | Sheu Salau ~,0,0,Ghana,,Agriculture and Food,Investment,No,GGSVP,Abel Lufafa,AFR,AWCW1,SAWA1,AGRICULTURE AND FOOD PG AFR1,Sheu Salau,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,
 ,AWCW1-AFW,FY12,,Assessed,P118858,GH-Statistics Development Program (FY11),8/25/2011,A,000214693 | Smile Kwawukume ~ 000374599 | Ayago Esmubancha Wambile,0,0,Ghana,,Poverty and Equity,Investment,No,GGEVP,Johan A. Mistiaen,AFR,AWCW1,EAWPV,EFI-AFR2-POV-Poverty and Equity,Smile Kwawukume,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,30,30,,,
 ,AWCW1-AFW,FY12,,Assessed,P119355,SL:Decentralized Service Delivery Prog 2,12/20/2011,A,000020424 | Randa G. El-Rashidi ~,0,0,Sierra Leone,,Social Protection and Jobs,Investment,No,GGHVP,Camilla Holmemo,AFR,AWCW1,HAWS3,Social Protection & Labor AFR 3,Randa G. El-Rashidi,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,26,26,,,
 ,AWCW1-AFW,FY12,,Assessed,P122808,GH Fourth Agriculture DPO,5/15/2012,A,000371155 | Jan Joost Nijhoff ~,0,0,Ghana,,Agriculture and Food,DPO,No,GGSVP,,AFR,AWCW1,SAGDR,Planet - Agriculture and Food GD,Jan Joost Nijhoff,,,,,,,,,,,12%,0,6,6,0,0.12,0,0,0,0,6,6,0,50,50,,,
 ,AWCW1-AFW,FY12,,Assessed,P123196,LR-RRSP4 Budget Support,10/18/2011,A,000112546 | Errol George Graham ~,0,0,Liberia,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Errol George Graham,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,
 ,AWCW1-AFW,FY12,,Assessed,P124775,GH-West Africa Regional Fisheries,7/14/2011,A,000377057 | Berengere P. C. Prince ~ 000332497 | Jingjie Chu,0,0,Ghana,,Environment Natural Resources and the Blue Economy,Investment,No,GGSVP,Lia Carol Sieghart,AFR,AWCW1,SAWE4,AFR ENR PM 4,Berengere P. C. Prince,,,,,,,,,,,30.52%,0,15.351560000000001,15.351560000000001,0,0.3052,0,0,0,0,15.35156,15.35156,0,50.3,50.3,,,
 ,AWCW1-AFW,FY12,,Assessed,P125595,Ghana - PPP Project,3/27/2012,A,000172595 | Craig Douglas Sugden ~,0,0,Ghana,,Finance and Markets,Investment,No,GGEVP,Mehnaz S. Safavian,AFR,AWCW1,EAWF2,EFI-AFR2-FCI-Finance-2,Craig Douglas Sugden,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,30,30,,,
 ,AWCW1-AFW,FY12,,Assessed,P126355,SL-DPL 5 - Budget Support,1/26/2012,A,000015465 | Cyrus P. Talati ~,0,0,Sierra Leone,,Macro Economics and Fiscal Management,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Cyrus P. Talati,,,,,,,,,,,33.60%,0,8.0640000000000001,8.0640000000000001,0,0.336,0,0,0,0,8.064,8.064,0,24,24,,,
 ,AWCW1-AFW,FY12,,Assessed,P127314,GH-PRSC 8,1/26/2012,A,000204391 | Sebastien C. Dessus ~,0,0,Ghana,,Poverty and Equity,DPO,No,GGEVP,Sandeep Mahajan,AFR,AWCW1,EAWM2,EFI-AFR2-MTI-MacroFiscal-2,Sebastien C. Dessus,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,
 ,AWCW1-AFW,FY12,,Assessed,P127319,LR-Integrated PFM Reform,12/15/2011,A,000182329 | Donald Herrings Mphande ~,0,0,Liberia,,Governance,Investment,No,GGEVP,Tracey M. Lane,AFR,AWCW1,EAWG2,EFI-AFR2-GOV-FM & PS-2,Donald Herrings Mphande,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,
 ,AWCW1-AFW,FY12,,Assessed,P128208,SL-Public Sector Pay & Performance(FY12),5/31/2012,A,000214693 | Smile Kwawukume ~,0,0,Sierra Leone,,Governance,Investment,No,GGEVP,Tracey M. Lane,AFR,AWCW1,EAWG2,EFI-AFR2-GOV-FM & PS-2,Smile Kwawukume,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,17,17,,,
 ,AWCW1-AFW,FY12,,Assessed,P129097,LR-LESEP Add'l Financing (FY12),1/26/2012,A,000424665 | Joseph Tawiah Quayson ~ 000052010 | Clemencia Torres De Mastle,0,0,Liberia,,Energy and Extractives,Investment,No,GGIVP,Ashish Khanna,AFR,AWCW1,IAWE4,Energy & Extractives AFR4,Joseph Tawiah Quayson,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,22,22,,,
 ,AWCW1-AFW,FY12,,Assessed,P129544,GH-Urban Water Add'l Financing (FY12),3/27/2012,A,000357324 | Emmanuel Nkrumah ~,0,0,Ghana,,Water,Investment,No,GGSVP,Fatouma Toure Ibrahima Wane,AFR,AWCW1,SAWW1,Water West Africa Region,Emmanuel Nkrumah,,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,50,50,,,
